団体名,大学名,参加形式,ジャンル
オーディオ研究部,神奈川工科大学,イベント/展示,オーディオ
鉄道研究部,神奈川工科大学,イベント/展示,自動車(鉄道を含む）
ロボット工学研究部,神奈川工科大学,イベント,
電気通信部,神奈川工科大学,展示,情報
航空研究部,神奈川工科大学,展示,航空
天文部,神奈川工科大学,展示,地学(天文含む)
白門地学愛好会,中央大学,展示,地学(天文含む)
物理学研究部,中央大学,展示,物理
技術問題研究部,中央大学,展示,情報
化学研究部,中央大学,展示,化学
経営工学研究会,中央大学,展示,数学
精密機械工学研究部,中央大学,イベント/展示,自動車(鉄道を含む）
生物科学研究部,中央大学,展示,生物
数学研究会,中央大学,展示,数学
理工学部鉄道研究会,中央大学,展示,自動車（鉄道を含む）
理工学部情報工学研究部,中央大学,展示,情報
電気工学研究部,中央大学,イベント/展示,メカトロニクス/オーディオ
X680x0同好会,電気通信大学,展示,情報
工学研究部,電気通信大学,展示,電子
ロボット研究部,東京工科大学,イベント/展示,機械
XMLPro,東京工科大学,展示,情報
電子技術研究部,東京電機大学,イベント,
エネルギー研究部,東京電機大学,イベント/展示,自動車（鉄道含む）
天文学研究部,東京電機大学,展示,地学（天文含む）
Flight Works,東京電機大学,展示,航空
鉄道研究部,東京電機大学,イベント,
航空技術研究部,東京電機大学,展示,航空
ソフトウェア研究部,東京電機大学,展示,情報
アマチュア無線部,東京電機大学,イベント/展示,電子
オーディオ技術研究部,東京電機大学,イベント,
自動制御研究部,東京電機大学,イベント,
経工会,東京都市大学,展示,数学
電気電子研究部,東京都市大学,イベント/展示,電子
機親会学生会,東京都市大学,展示,機械
応用生物科学学術研究会,日本大学,展示,生物
自動車研究会,法政大学,展示,自動車（鉄道含む）
経営工学研究会,法政大学,展示,数学
電気研究会,法政大学,イベント/展示,メカトロニクス
航空工学研究会,法政大学,展示,航空
計算技術研究会,法政大学,展示,情報
機械研究会,法政大学,展示,自動車（鉄道含む）
酪農化学研究会,明治大学,展示,生物
天文部,明治大学,展示,地学（天文を含む）
エレクトロニクス研究部,明治大学,展示,情報
自動車技術研究部,明治大学,展示,自動車（鉄道含む）
植物保護研究部,明治大学,展示,生物
オートメーション研究部,明治大学,展示,メカトロニクス
オーディオエンジニアリンググラブ,明治大学,展示,オーディオ
化学研究部,明治大学,展示,化学
応用生物科学学術研究会,明治大学,展示,生物
建築計画研究部,明治大学,展示,(記述なし)→建築
JIRO,明治大学,展示,航空
食品化学研究部,明治大学,展示,化学
花卉園芸部,明治大学,イベント,
